mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Metro LT,Australia,LT Avail AA,0.407264915,0.407264915,0.407264915,0.407264915,0.407264915,0.407264915,0.407264915,0.407264915,0.407264915,0.407264915,0.407264915,0.407264915,0.407264915,0.407264915,0.407264915,0.407264915,0.407264915,,,,,,,,,,
Metro LT,Australia,Total Alumina,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,,,,,,,,,,
Metro LT,Australia,LT React. Silica,0.053436582,0.053436582,0.053436582,0.053436582,0.053436582,0.053436582,0.053436582,0.053436582,0.053436582,0.053436582,0.053436582,0.053436582,0.053436582,0.053436582,0.053436582,0.053436582,0.053436582,,,,,,,,,,
Metro LT,Australia,Total Silica,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,,,,,,,,,,
Metro LT,Australia,Monhydrate,0.02353969,0.02353969,0.02353969,0.02353969,0.02353969,0.02353969,0.02353969,0.02353969,0.02353969,0.02353969,0.02353969,0.02353969,0.02353969,0.02353969,0.02353969,0.02353969,0.02353969,,,,,,,,,,
Metro LT,Australia,Moisture,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,,,,,,,,,,
Metro LT,Australia,Bauxite style,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,,,,,,,,,,
Metro LT,Australia,Total Organic Carbon,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,,,,,,,,,,
Metro LT,Australia,Vessel size,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,,,,,,,,,,
Metro LT,Australia,quartz,0.09356341799999998,0.09356341799999998,0.09356341799999998,0.09356341799999998,0.09356341799999998,0.09356341799999998,0.09356341799999998,0.09356341799999998,0.09356341799999998,0.09356341799999998,0.09356341799999998,0.09356341799999998,0.09356341799999998,0.09356341799999998,0.09356341799999998,0.09356341799999998,0.09356341799999998,,,,,,,,,,
Metro LT,Australia,LT processing,2.7282269358044533,2.7282269358044533,2.7282269358044533,2.7282269358044533,2.7282269358044533,2.7282269358044533,2.7282269358044533,2.7282269358044533,2.7282269358044533,2.7282269358044533,2.7282269358044533,2.7282269358044533,2.7282269358044533,2.7282269358044533,2.7282269358044533,2.7282269358044533,2.7282269358044533,,,,,,,,,,
Metro LT,Australia,HT-B processing,2.8505983873940868,2.8505983873940868,2.8505983873940868,2.8505983873940868,2.8505983873940868,2.8505983873940868,2.8505983873940868,2.8505983873940868,2.8505983873940868,2.8505983873940868,2.8505983873940868,2.8505983873940868,2.8505983873940868,2.8505983873940868,2.8505983873940868,2.8505983873940868,2.8505983873940868,,,,,,,,,,
Metro LT,Australia,HT-D processing,3.5936191698021,3.5936191698021,3.5936191698021,3.5936191698021,3.5936191698021,3.5936191698021,3.5936191698021,3.5936191698021,3.5936191698021,3.5936191698021,3.5936191698021,3.5936191698021,3.5936191698021,3.5936191698021,3.5936191698021,3.5936191698021,3.5936191698021,,,,,,,,,,
Metro LT,Australia,LT processing,0.13120841013275109,0.13120841013275109,0.13120841013275109,0.13120841013275109,0.13120841013275109,0.13120841013275109,0.13120841013275109,0.13120841013275109,0.13120841013275109,0.13120841013275109,0.13120841013275109,0.13120841013275109,0.13120841013275109,0.13120841013275109,0.13120841013275109,0.13120841013275109,0.13120841013275109,,,,,,,,,,
Metro LT,Australia,HT-B processing,0.17345685981144546,0.17345685981144546,0.17345685981144546,0.17345685981144546,0.17345685981144546,0.17345685981144546,0.17345685981144546,0.17345685981144546,0.17345685981144546,0.17345685981144546,0.17345685981144546,0.17345685981144546,0.17345685981144546,0.17345685981144546,0.17345685981144546,0.17345685981144546,0.17345685981144546,,,,,,,,,,
Metro LT,Australia,HT-D processing,0.31695721077654515,0.31695721077654515,0.31695721077654515,0.31695721077654515,0.31695721077654515,0.31695721077654515,0.31695721077654515,0.31695721077654515,0.31695721077654515,0.31695721077654515,0.31695721077654515,0.31695721077654515,0.31695721077654515,0.31695721077654515,0.31695721077654515,0.31695721077654515,0.31695721077654515,,,,,,,,,,
Metro LT,Australia,LT - Alumina,0.460701497,0.460701497,0.460701497,0.460701497,0.460701497,0.460701497,0.460701497,0.460701497,0.460701497,0.460701497,0.460701497,0.460701497,0.460701497,0.460701497,0.460701497,0.460701497,0.460701497,,,,,,,,,,
Metro LT,Australia,HT-B - Alumina,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,,,,,,,,,,
Metro LT,Australia,HT-D - Alumina,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,,,,,,,,,,
Metro LT,Australia,LT - Silica,0.053436582,0.053436582,0.053436582,0.053436582,0.053436582,0.053436582,0.053436582,0.053436582,0.053436582,0.053436582,0.053436582,0.053436582,0.053436582,0.053436582,0.053436582,0.053436582,0.053436582,,,,,,,,,,
Metro LT,Australia,HT-B - Silica,0.10021829099999999,0.10021829099999999,0.10021829099999999,0.10021829099999999,0.10021829099999999,0.10021829099999999,0.10021829099999999,0.10021829099999999,0.10021829099999999,0.10021829099999999,0.10021829099999999,0.10021829099999999,0.10021829099999999,0.10021829099999999,0.10021829099999999,0.10021829099999999,0.10021829099999999,,,,,,,,,,
Metro LT,Australia,HT-D - Silica,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,,,,,,,,,,
Metro LT,Australia,Moisture,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,2015 C1 mining cost,16.88,16.88,14.6103115,15.30349656,15.18351794,14.95438731,,,,,,,,,,,,6.8639,,,,,,,,,
Metro LT,Australia,Duties and royalties,4.0,4.0,3.462159122,3.626420985,3.5979900330000003,3.543693676,,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,,,,,,,,,,
Metro LT,Australia,2015 C1 transp. cost inc ship loading,3.0,3.0,2.733502998,2.818006451,2.744525187,2.6122589130000002,,6.76,,,,,,,,,,,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76
Metro LT,Australia,diesel  price now  / diesel price 2015,1.0,1.0,0.93539101,0.960880712,0.992797366,0.980068152,0.900005244,0.923222486,0.928880367,0.934354021,0.939962836,0.945689276,0.953014681,0.960041607,0.966795365,0.973298103,0.973298103,,,,,,,,,,
Metro LT,Australia,exchange rate local now / local beginning 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,% mining cost = diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,% mining cost = local currency denominated,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,other mining cost %,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,% royalties n duties cost = diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,% royalties n duties cost = local currency denominated,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,other royalties n duties cost %,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,% transport cost = diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,% transport cost = local currency denominated,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,other transport cost %,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,mining cost broken down - diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,mining cost broken down - local denomination,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,mining cost broken down - other,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,new mining cost - diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,new mining cost - local denomination,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,new mining cost - other,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,new mining cost - Total,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,royalties n duties cost broken down - diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,royalties n duties cost broken down - local denomination,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,royalties n duties cost broken down - other,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,new royalties n duties cost - diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,new royalties n duties cost - local denomination,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,new royalties n duties cost - other,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,new royalties n duties cost - Total,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,transport cost broken down - diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,transport cost broken down - local denomination,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,transport cost broken down - other,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,new transport cost - diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,new transport cost - local denomination,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,new transport cost - other,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,new transport cost - Total,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,Freight on Panamax,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,Freight on Capesize,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,Freight for vessel choosen,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,Capital cost of mine (inc. all infrasturure for export),10.275,10.275,10.275,10.275,10.275,10.275,10.275,10.275,10.275,10.275,10.275,10.275,10.275,10.275,10.275,10.275,10.275,,,,,,,,,,
Metro LT,Australia,Life of mine,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,,,,,,,,,
Metro LT,Australia,constructiuon period for mine & infrastructure,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Metro LT,Australia,IRR required for project,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,,,,,,,,,,
Metro LT,Australia,Sustaining Capital Charge ($/t),0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,0.3225,,,,,,,,,,
Metro LT,Australia,Partner & Other payments,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Metro LT,Australia,capital payback charge - before adjustment,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,-1.0501996190115732,,,,,,,,,,
Metro LT,Australia,"adjustment (new project, expansion, old mine)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Metro LT,Australia,capital payback charge,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,,,,,,,,,,
Metro LT,Australia,C1 Cost FOB,23.88,23.88,20.80597362,21.747923995999997,21.52603316,21.110339899,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,C1 Cost CFR Shandong,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,Cost FOB inc. Sustaining Capital,24.2025,24.2025,21.12847362,22.070423996,21.848533160000002,21.432839899,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,Cost CFR inc. Sustaining Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,Full cost FOB,24.2025,24.2025,21.12847362,22.070423996,21.848533160000002,21.432839899,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,Full cost CFR Shandong = Incentive price,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,Price CFR Shandong - not in use,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro LT,Australia,Margin C1,,,,,,,,,,,,,,,,,,,,,,,,,,,
