mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Cataguases,Brazil,other royalties n duties cost %,,,,,,,,,,,,,,,,,
Cataguases,Brazil,% transport cost = diesel,,,,,,,,,,,,,,,,,
Cataguases,Brazil,% transport cost = local currency denominated,,,,,,,,,,,,,,,,,
Cataguases,Brazil,other transport cost %,,,,,,,,,,,,,,,,,
Cataguases,Brazil,mining cost broken down - diesel,,,,,,,,,,,,,,,,,
Cataguases,Brazil,mining cost broken down - local denomination,,,,,,,,,,,,,,,,,
Cataguases,Brazil,mining cost broken down - other,,,,,,,,,,,,,,,,,
Cataguases,Brazil,new mining cost - diesel,,,,,,,,,,,,,,,,,
Cataguases,Brazil,new mining cost - local denomination,,,,,,,,,,,,,,,,,
Cataguases,Brazil,new mining cost - other,,,,,,,,,,,,,,,,,
Cataguases,Brazil,new mining cost - Total,,,,,,,,,,,,,,,,,
Cataguases,Brazil,royalties n duties cost broken down - diesel,,,,,,,,,,,,,,,,,
Cataguases,Brazil,royalties n duties cost broken down - local denomination,,,,,,,,,,,,,,,,,
Cataguases,Brazil,royalties n duties cost broken down - other,,,,,,,,,,,,,,,,,
Cataguases,Brazil,new royalties n duties cost - diesel,,,,,,,,,,,,,,,,,
Cataguases,Brazil,new royalties n duties cost - local denomination,,,,,,,,,,,,,,,,,
Cataguases,Brazil,new royalties n duties cost - other,,,,,,,,,,,,,,,,,
Cataguases,Brazil,new royalties n duties cost - Total,,,,,,,,,,,,,,,,,
Cataguases,Brazil,transport cost broken down - diesel,,,,,,,,,,,,,,,,,
Cataguases,Brazil,transport cost broken down - local denomination,,,,,,,,,,,,,,,,,
Cataguases,Brazil,transport cost broken down - other,,,,,,,,,,,,,,,,,
Cataguases,Brazil,new transport cost - diesel,,,,,,,,,,,,,,,,,
Cataguases,Brazil,new transport cost - local denomination,,,,,,,,,,,,,,,,,
Cataguases,Brazil,new transport cost - other,,,,,,,,,,,,,,,,,
Cataguases,Brazil,new transport cost - Total,,,,,,,,,,,,,,,,,
Cataguases,Brazil,Freight on Panamax,,,,,,,,,,,,,,,,,
Cataguases,Brazil,Freight on Capesize,,,,,,,,,,,,,,,,,
Cataguases,Brazil,Freight for vessel choosen,,,,,,,,,,,,,,,,,
Cataguases,Brazil,Capital cost of mine (inc. all infrasturure for export),60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Cataguases,Brazil,Life of mine,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Cataguases,Brazil,constructiuon period for mine & infrastructure,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Cataguases,Brazil,IRR required for project,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Cataguases,Brazil,Sustaining Capital Charge ($/t),1.085,1.085,1.085,1.085,1.085,1.085,1.085,1.085,1.085,1.085,1.085,1.085,1.085,1.085,1.085,1.085,1.085
Cataguases,Brazil,Partner & Other payments,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cataguases,Brazil,capital payback charge - before adjustment,-5.684955736785425,-5.684955736785425,-5.684955736785425,-5.684955736785425,-5.684955736785425,-5.684955736785425,-5.684955736785425,-5.684955736785425,-5.684955736785425,-5.684955736785425,-5.684955736785425,-5.684955736785425,-5.684955736785425,-5.684955736785425,-5.684955736785425,-5.684955736785425,-5.684955736785425
Cataguases,Brazil,"adjustment (new project, expansion, old mine)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cataguases,Brazil,capital payback charge,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Cataguases,Brazil,C1 Cost FOB,31.0,31.0,24.208758907,27.496162202999997,27.526393432,28.842453452999997,,,,,,,,,,,
Cataguases,Brazil,C1 Cost CFR Shandong,,,,,,,,,,,,,,,,,
Cataguases,Brazil,Cost FOB inc. Sustaining Capital,32.085,32.085,25.293758907,28.581162202999998,28.611393432,29.927453453,,,,,,,,,,,
Cataguases,Brazil,Cost CFR inc. Sustaining Capital,,,,,,,,,,,,,,,,,
Cataguases,Brazil,Full cost FOB,32.085,32.085,25.293758907,28.581162202999998,28.611393432,29.927453453,,,,,,,,,,,
Cataguases,Brazil,Full cost CFR Shandong = Incentive price,,,,,,,,,,,,,,,,,
Cataguases,Brazil,Price CFR Shandong - not in use,,,,,,,,,,,,,,,,,
Cataguases,Brazil,Margin C1,,,,,,,,,,,,,,,,,
Cataguases,Brazil,Margin inc. Sustaining Capital,,,,,,,,,,,,,,,,,
Cataguases,Brazil,Margin at Full Cost,,,,,,,,,,,,,,,,,
Cataguases,Brazil,Bauxite style,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT
Cataguases,Brazil,Alumina (%),0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47
Cataguases,Brazil,Silica (%),0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Cataguases,Brazil,Moisture (%),0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
Cataguases,Brazil,t/t (dry bauxite/alumina),2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456,2.6455026455026456
Cataguases,Brazil,2015 C1 mining cost ($/t),21.0,21.0,16.39948184,18.62643246,18.64691168,19.53843621,,,,,,,,,,,
Cataguases,Brazil,2015 C1 transp. cost ($/t),0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Cataguases,Brazil,ST Freight to China ($/dmt),,,,,,,,,,,,,,,,,
Cataguases,Brazil,C1 Cost CFR,,,,,,,,,,,,,,,,,
Cataguases,Brazil,C1 Cost FOB,31.0,31.0,24.208758907,27.496162202999997,27.526393432,28.842453452999997,,,,,,,,,,,
Cataguases,Brazil,Capital Payback ($/t)Charge,-5.684955736785425,-5.684955736785425,-5.684955736785425,-5.684955736785425,-5.684955736785425,-5.684955736785425,-5.684955736785425,-5.684955736785425,-5.684955736785425,-5.684955736785425,-5.684955736785425,-5.684955736785425,-5.684955736785425,-5.684955736785425,-5.684955736785425,-5.684955736785425,-5.684955736785425
Cataguases,Brazil,Sustaining Capital Charge ($/t),1.085,1.085,1.085,1.085,1.085,1.085,1.085,1.085,1.085,1.085,1.085,1.085,1.085,1.085,1.085,1.085,1.085
Cataguases,Brazil,Cash + Sustaining Capital CFR,,,,,,,,,,,,,,,,,
Cataguases,Brazil,Full Cost,,,,,,,,,,,,,,,,,
Cataguases,Brazil,Mine Gate,21.0,21.0,16.39948184,18.62643246,18.64691168,19.53843621,,,,,,,,,,,
Cataguases,Brazil,Other processing penalties (US$/t_bx),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
