mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Metro Blend,Australia,LT Avail AA,0.400721578,0.400721578,0.400721578,0.400721578,0.400721578,0.413214606,0.412773222,0.411979505,0.410606071,0.408907406,0.407169397,0.405399459,0.403601317,0.401776816,0.399926562,0.398050121,0.396145938,,,,,,,,,,
Metro Blend,Australia,Total Alumina,0.517278422,0.517278422,0.517278422,0.517278422,0.517278422,0.525865828,0.525634438,0.525183978,0.524354274,0.523275213,0.522128277,0.520924315,0.519668524,0.518363048,0.517007857,0.515600912,0.514137805,,,,,,,,,,
Metro Blend,Australia,LT React. Silica,0.065974478,0.065974478,0.065974478,0.065974478,0.065974478,0.059768563,0.060380349,0.061165966,0.062208364,0.063245188,0.064141495,0.064937647,0.065654196,0.066303046,0.066891452,0.067423732,0.067902009,,,,,,,,,,
Metro Blend,Australia,Total Silica,0.109974478,0.109974478,0.109974478,0.109974478,0.109974478,0.104040296,0.104220751,0.104559592,0.105166347,0.105937979,0.106744556,0.107580242,0.108442233,0.109329333,0.110241469,0.111179582,0.112145794,,,,,,,,,,
Metro Blend,Australia,Monhydrate,0.050582367,0.050582367,0.050582367,0.050582367,0.050582367,0.050582367,0.050582367,0.050582367,0.050582367,0.050582367,0.050582367,0.050582367,0.050582367,0.050582367,0.050582367,0.050582367,0.050582367,,,,,,,,,,
Metro Blend,Australia,Moisture,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,,,,,,,,,,
Metro Blend,Australia,Bauxite style,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,LT,,,,,,,,,,
Metro Blend,Australia,Total Organic Carbon,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,,,,,,,,,,
Metro Blend,Australia,Vessel size,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,Capesize,,,,,,,,,,
