snapshot_id,model_id,output_set,output_id,output_label,output_row,output_value,override_value,actual_value
15,21,Caustic Price Data,1,month,0,2018-01-28,,
15,21,Caustic Price Data,2,Shandong,0,2350.0,,
15,21,Caustic Price Data,3,Henan,0,3000.0,,
15,21,Caustic Price Data,4,Shanxi,0,3150.0,,
15,21,Caustic Price Data,1,month,1,2018-02-04,,
15,21,Caustic Price Data,2,Shandong,1,2350.0,,
15,21,Caustic Price Data,3,Henan,1,2850.0,,
15,21,Caustic Price Data,4,Shanxi,1,2950.0,,
15,21,Caustic Price Data,1,month,2,2018-02-11,,
15,21,Caustic Price Data,2,Shandong,2,2350.0,,
15,21,Caustic Price Data,3,Henan,2,2850.0,,
15,21,Caustic Price Data,4,Shanxi,2,2950.0,,
15,21,Caustic Price Data,1,month,3,2018-02-18,,
15,21,Caustic Price Data,2,Shandong,3,2350.0,,
15,21,Caustic Price Data,3,Henan,3,2850.0,,
15,21,Caustic Price Data,4,Shanxi,3,2950.0,,
15,21,Caustic Price Data,1,month,4,2018-02-25,,
15,21,Caustic Price Data,2,Shandong,4,2350.0,,
15,21,Caustic Price Data,3,Henan,4,2850.0,,
15,21,Caustic Price Data,4,Shanxi,4,2950.0,,
15,21,Caustic Price Data,1,month,5,2018-03-04,,
15,21,Caustic Price Data,2,Shandong,5,2650.0,,
15,21,Caustic Price Data,3,Henan,5,3150.0,,
15,21,Caustic Price Data,4,Shanxi,5,3150.0,,
15,21,Caustic Price Data,1,month,6,2018-03-11,,
15,21,Caustic Price Data,2,Shandong,6,2850.0,,
15,21,Caustic Price Data,3,Henan,6,3350.0,,
15,21,Caustic Price Data,4,Shanxi,6,3450.0,,
15,21,Caustic Price Data,1,month,7,2018-03-18,,
15,21,Caustic Price Data,2,Shandong,7,3000.0,,
15,21,Caustic Price Data,3,Henan,7,3500.0,,
15,21,Caustic Price Data,4,Shanxi,7,3575.0,,
15,21,Caustic Price Data,1,month,8,2018-03-25,,
15,21,Caustic Price Data,2,Shandong,8,2950.0,,
15,21,Caustic Price Data,3,Henan,8,3500.0,,
15,21,Caustic Price Data,4,Shanxi,8,3575.0,,
15,21,Caustic Price Data,1,month,9,2018-04-01,,
15,21,Caustic Price Data,2,Shandong,9,2950.0,,
15,21,Caustic Price Data,3,Henan,9,3500.0,,
15,21,Caustic Price Data,4,Shanxi,9,3575.0,,
15,21,Caustic Price Data,1,month,10,2018-04-08,,
15,21,Caustic Price Data,2,Shandong,10,2900.0,,
15,21,Caustic Price Data,3,Henan,10,3500.0,,
15,21,Caustic Price Data,4,Shanxi,10,3575.0,,
15,21,Caustic Price Data,1,month,11,2018-04-15,,
15,21,Caustic Price Data,2,Shandong,11,2800.0,,
15,21,Caustic Price Data,3,Henan,11,3500.0,,
15,21,Caustic Price Data,4,Shanxi,11,3575.0,,
15,21,Caustic Price Data,1,month,12,2018-04-22,,
15,21,Caustic Price Data,2,Shandong,12,2800.0,,
15,21,Caustic Price Data,3,Henan,12,3500.0,,
15,21,Caustic Price Data,4,Shanxi,12,3575.0,,
15,21,Caustic Price Data,1,month,13,2018-04-29,,
15,21,Caustic Price Data,2,Shandong,13,2800.0,,
15,21,Caustic Price Data,3,Henan,13,3500.0,,
15,21,Caustic Price Data,4,Shanxi,13,3575.0,,
15,21,Caustic Price Data,1,month,14,2018-05-06,,
15,21,Caustic Price Data,2,Shandong,14,2800.0,,
15,21,Caustic Price Data,3,Henan,14,3500.0,,
15,21,Caustic Price Data,4,Shanxi,14,3575.0,,
15,21,Caustic Price Data,1,month,15,2018-05-13,,
15,21,Caustic Price Data,2,Shandong,15,2800.0,,
15,21,Caustic Price Data,3,Henan,15,3500.0,,
15,21,Caustic Price Data,4,Shanxi,15,3575.0,,
15,21,Caustic Price Data,1,month,16,2018-05-20,,
15,21,Caustic Price Data,2,Shandong,16,2750.0,,
15,21,Caustic Price Data,3,Henan,16,3200.0,,
15,21,Caustic Price Data,4,Shanxi,16,3275.0,,
15,21,Caustic Price Data,1,month,17,2018-05-27,,
15,21,Caustic Price Data,2,Shandong,17,2750.0,,
15,21,Caustic Price Data,3,Henan,17,3200.0,,
15,21,Caustic Price Data,4,Shanxi,17,3275.0,,
15,21,Caustic Price Data,1,month,18,2018-06-03,,
15,21,Caustic Price Data,2,Shandong,18,2750.0,,
15,21,Caustic Price Data,3,Henan,18,3200.0,,
15,21,Caustic Price Data,4,Shanxi,18,3275.0,,
15,21,Caustic Price Data,1,month,19,2018-06-10,,
15,21,Caustic Price Data,2,Shandong,19,2750.0,,
15,21,Caustic Price Data,3,Henan,19,3100.0,,
15,21,Caustic Price Data,4,Shanxi,19,3175.0,,
15,21,Caustic Price Data,1,month,20,2018-06-17,,
15,21,Caustic Price Data,2,Shandong,20,2600.0,,
15,21,Caustic Price Data,3,Henan,20,3000.0,,
15,21,Caustic Price Data,4,Shanxi,20,3075.0,,
15,21,Caustic Price Data,1,month,21,2018-06-24,,
15,21,Caustic Price Data,2,Shandong,21,2600.0,,
15,21,Caustic Price Data,3,Henan,21,3000.0,,
15,21,Caustic Price Data,4,Shanxi,21,3075.0,,
15,21,Caustic Price Data,1,month,22,2018-07-01,,
15,21,Caustic Price Data,2,Shandong,22,2600.0,,
15,21,Caustic Price Data,3,Henan,22,3000.0,,
15,21,Caustic Price Data,4,Shanxi,22,3075.0,,
15,21,Caustic Price Data,1,month,23,2018-07-08,,
15,21,Caustic Price Data,2,Shandong,23,2600.0,,
15,21,Caustic Price Data,3,Henan,23,3000.0,,
15,21,Caustic Price Data,4,Shanxi,23,3075.0,,
15,21,Caustic Price Data,1,month,24,2018-07-15,,
15,21,Caustic Price Data,2,Shandong,24,2600.0,,
15,21,Caustic Price Data,3,Henan,24,3000.0,,
15,21,Caustic Price Data,4,Shanxi,24,3075.0,,
15,21,Caustic Price Data,1,month,25,2018-07-22,,
15,21,Caustic Price Data,2,Shandong,25,2600.0,,
15,21,Caustic Price Data,3,Henan,25,3000.0,,
15,21,Caustic Price Data,4,Shanxi,25,3075.0,,
15,21,Caustic Price Data,1,month,26,2018-07-29,,
15,21,Caustic Price Data,2,Shandong,26,2600.0,,
15,21,Caustic Price Data,3,Henan,26,3000.0,,
15,21,Caustic Price Data,4,Shanxi,26,3075.0,,
15,21,Caustic Price Data,1,month,27,2018-08-05,,
15,21,Caustic Price Data,2,Shandong,27,2600.0,,
15,21,Caustic Price Data,3,Henan,27,3000.0,,
15,21,Caustic Price Data,4,Shanxi,27,3075.0,,
15,21,Caustic Price Data,1,month,28,2018-08-12,,
15,21,Caustic Price Data,2,Shandong,28,2600.0,,
15,21,Caustic Price Data,3,Henan,28,3000.0,,
15,21,Caustic Price Data,4,Shanxi,28,3075.0,,
15,21,Caustic Price Data,1,month,29,2018-08-19,,
15,21,Caustic Price Data,2,Shandong,29,2600.0,,
15,21,Caustic Price Data,3,Henan,29,3000.0,,
15,21,Caustic Price Data,4,Shanxi,29,3075.0,,
15,21,Caustic Price Data,1,month,30,2018-08-26,,
15,21,Caustic Price Data,2,Shandong,30,2600.0,,
15,21,Caustic Price Data,3,Henan,30,3000.0,,
15,21,Caustic Price Data,4,Shanxi,30,3075.0,,
15,21,Caustic Price Data,1,month,31,2018-09-02,,
15,21,Caustic Price Data,2,Shandong,31,2700.0,,
15,21,Caustic Price Data,3,Henan,31,3200.0,,
15,21,Caustic Price Data,4,Shanxi,31,3225.0,,
15,21,Caustic Price Data,1,month,32,2018-09-09,,
15,21,Caustic Price Data,2,Shandong,32,2700.0,,
15,21,Caustic Price Data,3,Henan,32,3200.0,,
15,21,Caustic Price Data,4,Shanxi,32,3225.0,,
15,21,Caustic Price Data,1,month,33,2018-09-16,,
15,21,Caustic Price Data,2,Shandong,33,2700.0,,
15,21,Caustic Price Data,3,Henan,33,3200.0,,
15,21,Caustic Price Data,4,Shanxi,33,3225.0,,
15,21,Caustic Price Data,1,month,34,2018-09-23,,
15,21,Caustic Price Data,2,Shandong,34,2700.0,,
15,21,Caustic Price Data,3,Henan,34,3200.0,,
15,21,Caustic Price Data,4,Shanxi,34,3225.0,,
15,21,Caustic Price Data,1,month,35,2018-09-30,,
15,21,Caustic Price Data,2,Shandong,35,2700.0,,
15,21,Caustic Price Data,3,Henan,35,3200.0,,
15,21,Caustic Price Data,4,Shanxi,35,3225.0,,
15,21,Caustic Price Data,1,month,36,2018-10-07,,
15,21,Caustic Price Data,2,Shandong,36,2700.0,,
15,21,Caustic Price Data,3,Henan,36,3200.0,,
15,21,Caustic Price Data,4,Shanxi,36,3225.0,,
15,21,Caustic Price Data,1,month,37,2018-10-14,,
15,21,Caustic Price Data,2,Shandong,37,2700.0,,
15,21,Caustic Price Data,3,Henan,37,3200.0,,
15,21,Caustic Price Data,4,Shanxi,37,3225.0,,
15,21,Caustic Price Data,1,month,38,2018-10-21,,
15,21,Caustic Price Data,2,Shandong,38,2700.0,,
15,21,Caustic Price Data,3,Henan,38,3200.0,,
15,21,Caustic Price Data,4,Shanxi,38,3225.0,,
15,21,Caustic Price Data,1,month,39,2018-10-28,,
15,21,Caustic Price Data,2,Shandong,39,2700.0,,
15,21,Caustic Price Data,3,Henan,39,3200.0,,
15,21,Caustic Price Data,4,Shanxi,39,3225.0,,
15,21,Caustic Price Data,1,month,40,2018-11-04,,
15,21,Caustic Price Data,2,Shandong,40,2700.0,,
15,21,Caustic Price Data,3,Henan,40,3200.0,,
15,21,Caustic Price Data,4,Shanxi,40,3225.0,,
15,21,Caustic Price Data,1,month,41,2018-11-11,,
15,21,Caustic Price Data,2,Shandong,41,2700.0,,
15,21,Caustic Price Data,3,Henan,41,3200.0,,
15,21,Caustic Price Data,4,Shanxi,41,3225.0,,
15,21,Caustic Price Data,1,month,42,2018-11-18,,
15,21,Caustic Price Data,2,Shandong,42,2700.0,,
15,21,Caustic Price Data,3,Henan,42,3200.0,,
15,21,Caustic Price Data,4,Shanxi,42,3225.0,,
15,21,Caustic Price Data,1,month,43,2018-11-25,,
15,21,Caustic Price Data,2,Shandong,43,2700.0,,
15,21,Caustic Price Data,3,Henan,43,3200.0,,
15,21,Caustic Price Data,4,Shanxi,43,3225.0,,
15,21,Caustic Price Data,1,month,44,2018-12-02,,
15,21,Caustic Price Data,2,Shandong,44,2700.0,,
15,21,Caustic Price Data,3,Henan,44,3000.0,,
15,21,Caustic Price Data,4,Shanxi,44,3025.0,,
