Name3,Name1,Name,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Africa,Guinea,Chalco Boffa,0.0,0.0,0.0,0.0,8.0999999994816,10.799999999308799,10.799999999308799,10.799999999308799,10.799999999308799,11.999999999232,11.999999999232,11.999999999232,11.999999999232,11.999999999232,11.999999999232,11.999999999232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,Guinea,Alufer (Bel Air),0.0,0.0,0.3280000000041,3.4000000000425,5.265000000065813,5.265000000065813,8.343000000104288,8.343000000104288,8.343000000104288,8.343000000104288,8.343000000104288,9.270000000115875,9.270000000115875,9.270000000115875,9.270000000115875,9.270000000115875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australasia,Australia,Weipa/Amrun Generic,12.171999999708481,13.779999999669966,18.44299999955829,5.9999999998563,6.00000000030558,6.00000000030558,6.00000000030558,5.99999999909625,5.99999999909625,5.99999999909625,5.99999999909625,5.99999999909625,5.99999999909625,5.99999999909625,5.99999999909625,5.99999999909625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australasia,Australia,Gove,9.091000000113638,11.20000000014,8.281000000103512,7.4000000000925,8.0000000001,8.0000000001,8.0000000001,8.0000000001,8.0000000001,8.0000000001,8.0000000001,8.0000000001,8.0000000001,8.0000000001,8.0000000001,8.0000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,Guinea,AMR,0.0,4.00000000005,8.0,5.9,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asia ex-China,India,Gujarat & Maharashtra,4.541830488396966,2.14000000002675,0.6529180000081615,0.400000000005,8.0000000001,8.0000000001,8.0000000001,8.0000000001,8.0000000001,8.0000000001,8.0000000001,8.0000000001,8.0000000001,8.0000000001,8.0000000001,8.0000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asia ex-China,Indonesia,West Kalimantan,0.0,1.339999999866,7.5438239992456175,14.099999998589999,14.999999998500002,11.09999999889,1.19999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,Guinea,Henan-Chine,0.0,1.90000000002375,5.0,5.0,5.0,5.0,10.0000000000625,10.000000000125,10.000000000125,10.000000000125,10.000000000125,10.000000000125,10.000000000125,10.000000000125,10.000000000125,10.000000000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asia ex-China,Malaysia,Kuantan,7.663715976392092,4.86000000006075,0.5547110014884153,0.90000000001125,6.0000000006312,6.0000000006312,6.0000000006312,6.0000000006312,6.0000000006312,4.0000000004208,2.0000000002104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australasia,Fiji,Aurum Xinfa-Fiji,0.05803358903268102,0.11999999998259998,0.05781599999161668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americas,Dominic Republic,Dom. Rep.,0.28436796088935445,0.0,0.0,0.0,1.9999999999412998,1.9999999999412998,1.9999999999412998,2.000000000376,2.000000000376,2.000000000376,2.000000000376,2.000000000376,2.000000000376,2.000000000376,2.000000000376,2.000000000376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americas,Jamaica,Discovery Bay,0.0,0.34999999995227404,0.9556239987386693,0.399999999945456,2.500000000263,2.500000000263,2.500000000263,2.500000000263,2.500000000263,2.500000000263,2.500000000263,2.500000000263,2.500000000263,2.500000000263,2.4999999998850004,2.4999999998850004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,Ghana,Awaso,1.085673898827591,0.7899999998818951,0.5576719999166281,0.29999999995515003,1.20000000012624,1.20000000012624,1.20000000012624,1.20000000012624,1.20000000012624,1.20000000012624,1.20000000012624,1.20000000012624,1.20000000012624,1.20000000012624,1.1999999998206001,1.1999999998206001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,Guinea,CBG,3.3779999995000005,2.6500000000000004,0.42000000006384,1.000000000152,3.70000000038924,3.70000000038924,3.70000000038924,8.20000000086264,8.20000000086264,8.20000000086264,8.20000000086264,8.20000000086264,10.500000001104599,10.500000001104599,10.500000001595998,10.500000001595998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,Guinea,AMC,0.0,0.0,0.0,0.0,0.0,0.0,2.2500000002367,4.5000000004734,4.5000000004734,9.0000000009468,9.0000000009468,9.0000000009468,9.0000000009468,9.0000000009468,10.000000000745999,10.000000000745999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,Guinea,GAC,0.0,0.0,0.0,0.0,7.199999999495785,7.199999999495785,7.199999999495785,4.949999999653351,3.3999999997618984,3.3999999997618984,3.3999999997618984,3.3999999997618984,3.3999999997618984,3.3999999997618984,3.3999999997618984,3.3999999997618984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australasia,Solomon Islands,Solomon Islands,0.23803329971245404,1.5299999997731237,1.6086469986157408,1.0999999998368863,1.7999999997330867,1.7999999997330867,1.7999999997330867,1.79999999982324,1.79999999982324,1.79999999982324,1.79999999982324,1.79999999982324,1.79999999982324,1.79999999982324,1.79999999982324,1.79999999982324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australasia,Australia,Metallica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5000000001578,1.5000000001578,1.5000000001578,1.5000000001578,1.5000000001578,1.4999999999984999,1.4999999999984999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australasia,Australia,Aurukun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0000000003749996,6.000000000749999,7.000000000875,7.000000000875,7.5000000009375,8.000000001,8.000000001,8.000000001,8.000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australasia,Australia,Metro LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americas,Brazil,MRN,4.358786052897455,2.566383168632251,0.46199999995380003,0.6999999999300001,2.8499999998175998,2.8499999998175998,2.8499999998175998,2.8499999998175998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americas,Brazil,Juruti,0.0,0.7286168305496156,1.1200000002156,1.4000000002695001,1.8000000003465,1.8000000003465,1.8000000003465,1.8000000003465,1.8000000003465,1.8000000003465,1.8000000003465,1.8000000003465,1.8000000003465,1.8000000003465,1.8000000003465,1.8000000003465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americas,Brazil,Mirai,0.03999999999744,0.0,0.0,0.0,0.999999999936,0.999999999936,0.999999999936,0.999999999936,0.999999999936,0.999999999936,0.999999999936,1.999999999872,1.999999999872,1.999999999872,1.999999999872,2.999999999808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
