Handysize,Supramax loading rates,Panamax loading rates,NeoPanamax loading rate,Suezmax loading rate,Capesize loading rates,VLOC loading rates
30000,30000,30000,30000,30000,30000,30000
15000,15000,15000,15000,15000,15000,15000
80000,80000,80000,80000,80000,40000,40000
80000,80000,80000,80000,80000,40000,40000
18000,18000,18000,18000,18000,18000,18000
15000,15000,15000,15000,15000,15000,15000
30000,30000,30000,30000,30000,20000,20000
30000,30000,30000,30000,30000,30000,30000
30000,30000,30000,30000,30000,30000,30000
15000,15000,15000,15000,15000,15000,15000
30000,30000,30000,30000,30000,30000,30000
15000,15000,15000,15000,15000,15000,15000
30000,30000,30000,30000,30000,30000,30000
30000,30000,30000,30000,30000,30000,30000
