VLOC – Distance using Main Engine Fuel,VLOC – Distance using Auxiliary Fuel,VLOC – Applicable Time Charter Index,VLOC – Applicable Fuel Region,VLOC – Main Engine Fuel,VLOC – Auxiliary Fuel,VLOC – Canals used,Capesize – Distance using Main Engine Fuel,Capesize – Distance using Auxiliary Fuel,Capesize – Applicable Time Charter Index,Capesize – Applicable Fuel Region,Capesize – Main Engine Fuel,Capesize – Auxiliary Fuel,Capesize – Canals used,Suezmax – Distance using Main Engine Fuel,Suezmax – Distance using Auxiliary Fuel,Suezmax – Applicable Time Charter Index,Suezmax – Applicable Fuel Region,Suezmax – Main Engine Fuel,Suezmax – Auxiliary Fuel,Suezmax – Canals used,NeoPanamax – Distance using Main Engine Fuel,NeoPanamax – Distance using Auxiliary Fuel,NeoPanamax – Applicable Time Charter Index,NeoPanamax – Applicable Fuel Region,NeoPanamax – Main Engine Fuel,NeoPanamax – Auxiliary Fuel,NeoPanamax – Canals used,Panamax – Distance using Main Engine Fuel,Panamax – Distance using Auxiliary Fuel,Panamax – Applicable Time Charter Index,Panamax – Applicable Fuel Region,Panamax – Main Engine Fuel,Panamax – Auxiliary Fuel,Panamax – Canals used,Supramax – Distance using Main Engine Fuel,Supramax – Distance using Auxiliary Fuel,Supramax – Applicable Time Charter Index,Supramax – Applicable Fuel Region,Supramax – Main Engine Fuel,Supramax – Auxiliary Fuel,Supramax – Canals used,Handysize – Distance using Main Engine Fuel,Handysize – Distance using Auxiliary Fuel,Handysize – Applicable Time Charter Index,Handysize – Applicable Fuel Region,Handysize – Main Engine Fuel,Handysize – Auxiliary Fuel,Handysize – Canals used
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13157.0,0,VLOC_General,Singapore,VLSFO,MGO_Regular,none,13157.0,0,Capesize_General,Singapore,VLSFO,MGO_Regular,none,,0,Capesize_General,Singapore,VLSFO,MGO_Regular,none,,0,Capesize_General,Singapore,VLSFO,MGO_Regular,none,,0,Panamax_General,Singapore,VLSFO,MGO_Regular,none,,0,Supramax_General,Singapore,VLSFO,MGO_Regular,none,,0,Handysize_General,Singapore,VLSFO,MGO_Regular,none
