Rank,Name,tonnes,3rd Party Market,Integrated,Forward sold or HT 3rd Party Market
1,Gove,7.599999999999999,11.651079195247656,0,0
2,Weipa,17.200000000000006,12.54465847260832,0,0
3,Juruti,1.8000000000000016,13.873595596252358,0,0
4,Huntly,7.000000000000003,14.331719729934434,0,0
5,CBG,10.499999999999996,16.132924568580663,0,0
6,GAC,3.0,16.897394709014776,0,0
7,Vietnam,1.000000000000001,17.109833781042823,0,0
8,Dian Dian,3.0000000000000027,18.09408720840679,0,0
9,Amrun,10.879999999999995,18.393410478415973,0,0
10,Metro Blend,5.3999999999999915,18.4939,0,0
11,Chalco Boffa,34.8,0,18.646380044455267,0
12,Dynamic,9.000000000000009,18.6538583581832,0,0
13,Alufer (Bel Air),9.269999999999996,20.962179827312525,0,0
14,Other,0.500000000000001,22.36205801966878,0,0
15,SMB Santou-Houda,1.2040864726907257,23.07405034594429,0,0
16,SMB Santou-Houda,34.552565541142684,0,23.07405034594429,0
17,Henan-Chine,10.000000000000009,23.48593904498995,0,0
18,Solomon Islands,1.5999999999999972,24.168784703525915,0,0
19,AGB2A,9.000000000000018,24.26128038192639,0,0
20,Awaso,0.3000000000000066,0,24.329022762475084,0
21,GDM,2.0000000000000075,26.801234069835488,0,0
22,AMC,10.0,27.616107778291784,0,0
23,SPIC,7.500000000000003,0,29.67333117723629,0
24,AMR,0.0,29.030001306118212,0,0
25,Gujarat & Maharashtra,0.0,23.303376065710545,0,0
26,West Kalimantan,0.0,24.661216896448913,0,0
27,Kuantan & Johor,0.0,32.09,0,0
28,Aurum Xinfa-Fiji,0.0,0,18.936888869770133,0
29,Dom. Rep.,0.0,24.981140897124423,0,0
30,Discovery Bay,0.0,22.457150982446066,0,0
31,Metallica,0.0,22.33829695291623,0,0
32,Aurukun,0.0,20.29210895202911,0,0
33,Metro LT,0.0,18.4939,0,0
34,MRN,0.0,19.123632435024604,0,0
35,Mirai,0.0,33.42482372122173,0,0
36,Metro BH1,0.0,18.4939,0,0
37,Amrun,0.0,18.393410478415973,0,0
38,Rondon do Para,0.0,41.08972850189547,0,0
39,SMB Malapouya-Boké,0.0,25.599227085139688,0,0
40,Rundi,0.0,28.371290021748727,0,0
41,Dabiss N,0.0,0.0,0,0
42,Metro BH1 Xinfa,0.0,0,0,18.4939
43,Ashapura Guinea,0.0,33.59437905003689,0,0
44,SMB Kaboye,0.0,27.044117834460053,0,0
45,SMB Dabiss S,0.0,31.11189956938875,0,0
46,Weiqiao Self Supply,0.0,0.0,0,0
47,Mokanji,0.0,33.41139101185085,0,0
48,Henan-Chine,0.0,0,23.48593904498995,0
49,SMB Malapouya-Boké,0.0,0,25.599227085139688,0
50,AMR,0.0,0,29.030001306118212,0
51,GDM,0.0,0,26.801234069835488,0
52,Ashapura Guinea,0.0,0,33.59437905003689,0
53,SMB Kaboye,0.0,0,27.044117834460053,0
54,SMB Dabiss S,0.0,0,31.11189956938875,0
