Rank,Name,tonnes,3rd Party Market,Integrated,Forward sold or HT 3rd Party Market
1,Awaso,0.3000000000000066,0,-47.78476509601353,0
2,SPIC,7.500000000000003,0,-40.411911430709154,0
3,AMC,10.0,-38.35468803176464,0,0
4,GDM,2.0000000000000075,-37.53981432330834,0,0
5,Juruti,1.8000000000000016,-36.025366648116204,0,0
6,AGB2A,9.000000000000018,-34.999860635399244,0,0
7,Henan-Chine,10.000000000000009,-34.22451929846281,0,0
8,SMB Santou-Houda,1.2040864726907257,-33.81263059941715,0,0
9,SMB Santou-Houda,34.552565541142684,0,-33.81263059941715,0
10,Alufer (Bel Air),9.269999999999996,-31.627031686400215,0,0
11,Other,0.500000000000001,-31.53508678257223,0,0
12,CBG,10.499999999999996,-30.336337152534398,0,0
13,Solomon Islands,1.5999999999999972,-29.585866316717564,0,0
14,Dynamic,9.000000000000009,-29.39243861165606,0,0
15,Dian Dian,3.0000000000000027,-28.670464994232283,0,0
16,Chalco Boffa,34.8,0,-27.756028317358634,0
17,GAC,3.0,-27.413685799519882,0,0
18,Huntly,7.000000000000003,-21.861300862570786,0,0
19,Amrun,10.879999999999995,-20.183557443811463,0,0
20,Metro Blend,5.3999999999999915,-18.171150744111,0,0
21,Vietnam,1.000000000000001,-17.170795130584374,0,0
22,Weipa,17.200000000000006,-14.334805438003809,0,0
23,Gove,7.599999999999999,-11.611729077110013,0,0
24,AMR,0.0,-39.76858155959108,0,0
25,Gujarat & Maharashtra,0.0,-30.95362950506871,0,0
26,West Kalimantan,0.0,-26.204920893329806,0,0
27,Kuantan & Johor,0.0,-35.84817300383657,0,0
28,Aurum Xinfa-Fiji,0.0,0,-25.2712159849755,0
29,Dom. Rep.,0.0,-41.96246626038899,0,0
30,Discovery Bay,0.0,-50.77058605244403,0,0
31,Metallica,0.0,-24.128443918311724,0,0
32,Aurukun,0.0,-22.230189832499622,0,0
33,Metro LT,0.0,-18.171150744111,0,0
34,MRN,0.0,-39.336188677237885,0,0
35,Mirai,0.0,-59.30933317258314,0,0
36,Metro BH1,0.0,-18.171150744111,0,0
37,Amrun,0.0,-20.183557443811463,0,0
38,Rondon do Para,0.0,-63.24149955375931,0,0
39,SMB Malapouya-Boké,0.0,-36.33780733861255,0,0
40,Rundi,0.0,-39.109870275221574,0,0
41,Dabiss N,0.0,8.0,0,0
42,Metro BH1 Xinfa,0.0,0,0,-18.171150744111
43,Ashapura Guinea,0.0,-44.33295930350975,0,0
44,SMB Kaboye,0.0,-37.782698087932914,0,0
45,SMB Dabiss S,0.0,-41.85047982286161,0,0
46,Weiqiao Self Supply,0.0,0.0,0,0
47,Mokanji,0.0,-51.139017877067225,0,0
48,Henan-Chine,0.0,0,-34.22451929846281,0
49,SMB Malapouya-Boké,0.0,0,-36.33780733861255,0
50,AMR,0.0,0,-39.76858155959108,0
51,GDM,0.0,0,-37.53981432330834,0
52,Ashapura Guinea,0.0,0,-44.33295930350975,0
53,SMB Kaboye,0.0,0,-37.782698087932914,0
54,SMB Dabiss S,0.0,0,-41.85047982286161,0
