Project,Country,2019,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0
AGB2A,Guinea,0.0,1.0,3.5,4.5,5.4,8.1,8.1,8.1,8.1,8.1,9.0,9.0
Alufer (Bel Air),Guinea,3.3070000000000004,5.2650000000000015,5.2650000000000015,8.343000000000002,8.343000000000002,8.343000000000002,8.343000000000002,8.343000000000002,9.27,9.27,9.27,9.27
AMC,Guinea,0.0,0.0,0.0,2.25,4.5,9.0,9.0,9.0,10.0,10.0,10.0,10.0
AMR,Guinea,5.000000000000001,5.000000000000001,5.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amrun,Australia,6.525193999999999,10.880000000000003,10.880000000000003,10.879999999999997,10.879999999999995,10.879999999999999,10.879999999999999,10.879999999999999,10.879999999999999,10.879999999999997,10.879999999999997,10.879999999999997
Ashapura Guinea,Guinea,0.0,0.5,1.5,3.0,4.5,4.5,5.0,5.0,5.0,5.0,5.0,5.0
Aurukun,Australia,0.0,0.0,0.0,0.0,3.0,6.0,7.0,7.0,7.5,8.0,8.0,8.0
Aurum Xinfa-Fiji,Fiji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Awaso,Ghana,0.282,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
CBG,Guinea,1.114,3.7,3.7,3.7,8.2,8.2,8.2,8.2,8.2,10.5,10.5,10.5
Chalco Boffa,Guinea,0.0,7.0,10.8,10.8,10.8,10.8,22.8,22.8,22.8,22.8,22.8,34.8
Dabiss N,Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dian Dian,Guinea,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Discovery Bay,Jamaica,0.41100000000000003,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Dom. Rep.,Dominican Republic,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Dynamic,Guinea,0.0,0.0,1.0,4.86,7.29,8.1,8.1,9.0,9.0,9.0,9.0,9.0
Mokanji,Sierra Leone,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GAC,Guinea,0.0,5.0,6.800000000000002,6.800000000000002,5.75,3.0,3.0,3.0,3.0,3.0,3.0,3.0
GDM,Guinea,0.3000000000000011,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Gove,Australia,7.564,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6
Gujarat & Maharashtra,India,0.327,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Henan-Chine,Guinea,6.6,5.0,7.5,9.999999999999998,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Huntly,Australia,1.74,2.0,2.0,2.0,2.0,2.0,4.5,7.0,7.0,7.0,7.0,7.0
Juruti,Brazil,1.314,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
Kuantan & Johor,Malaysia,0.753,6.0,6.0,6.0,6.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0
Metallica,Australia,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,1.5,1.5,1.5
Metro BH1,Australia,3.007,2.07,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metro Blend,Australia,0.0,1.5300000000000002,3.33,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
Metro LT,Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mirai,Brazil,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.9999999999999856,2.0
MRN,Brazil,0.5579999999999999,2.85,2.85,2.85,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other,Other,0.7659999999999999,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Rondon do Para,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rundi,Guinea,0.0,1.0,3.0,4.5,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
SMB Dabiss S,Guinea,13.682004977357865,18.299999999999997,18.300000000000004,18.3,18.299999999999997,18.3,18.3,18.3,18.3,18.3,18.3,18.3
SMB Kaboye,Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMB Malapouya,Guinea,14.4,15.000000000000002,15.000000000000002,14.999999999999998,11.000000000000005,7.000000000000003,0.0,0.0,0.0,0.0,0.0,0.0
SMB Santou-Houda,Guinea,0.0,0.0,0.0,9.0,18.0,27.000000000000004,36.0,36.0,36.0,36.0,36.0,36.0
Solomon Islands,Solomon Islands,1.188,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
SPIC,Guinea,0.0,0.0,1.0,6.75,6.75,6.75,6.75,7.5,7.5,7.5,7.5,7.5
Vietnam Others,Vietnam,0.139,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Weipa,Australia,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2
Weiqiao Self Supply,Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Kalimantan,Indonesia,14.436,15.0,11.1,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
