Rank,Name,tonnes,3rd Party Market,Integrated,Forward sold or HT 3rd Party Market
1,SPIC,7.500000000000003,0,-0.6686600915034973,0
2,Amrun,10.879999999999995,3.883556552559412,0,0
3,SMB Santou-Houda,1.2040864726907257,4.3145147012288945,0,0
4,SMB Santou-Houda,34.552565541142684,0,4.3145147012288945,0
5,GDM,2.0000000000000075,4.977491131715048,0,0
6,Awaso,0.3000000000000066,0,5.280524269886911,0
7,Other,0.500000000000001,7.0064480894009264,0,0
8,AGB2A,9.000000000000018,7.0671872146258465,0,0
9,Metro Blend,5.3999999999999915,8.587158303314997,0,0
10,Alufer (Bel Air),9.269999999999996,8.772245573982893,0,0
11,AMC,10.0,9.488698916037762,0,0
12,Dynamic,9.000000000000009,9.544157644057066,0,0
13,Henan-Chine,10.000000000000009,9.8236212952228,0,0
14,Huntly,7.000000000000003,9.941647782035659,0,0
15,CBG,10.499999999999996,10.34256211707342,0,0
16,Juruti,1.8000000000000016,10.43271819223429,0,0
17,GAC,3.0,10.896687488139136,0,0
18,Chalco Boffa,34.8,0,12.02947091728607,0
19,Weipa,17.200000000000006,15.55438665357456,0,0
20,Solomon Islands,1.5999999999999972,16.626250669174745,0,0
21,Dian Dian,3.0000000000000027,18.598015064310772,0,0
22,Gove,7.599999999999999,27.95304493950864,0,0
23,Vietnam,1.000000000000001,29.97329134262813,0,0
24,AMR,0.0,2.121543468710584,0,0
25,Gujarat & Maharashtra,0.0,1.8321664204918804,0,0
26,West Kalimantan,0.0,14.24032549131688,0,0
27,Kuantan & Johor,0.0,-0.5157697946777375,0,0
28,Aurum Xinfa-Fiji,0.0,0,3.9768696622726907,0
29,Dom. Rep.,0.0,-9.42347359527259,0,0
30,Discovery Bay,0.0,2.3502330673455347,0,0
31,Metallica,0.0,-5.421174505806281,0,0
32,Aurukun,0.0,-1.7405829564377981,0,0
33,Metro LT,0.0,14.992071888432609,0,0
34,MRN,0.0,5.7208001899762735,0,0
35,Mirai,0.0,-16.245317932334437,0,0
36,Metro BH1,0.0,14.17726347856065,0,0
37,Amrun,0.0,3.883556552559412,0,0
38,Rondon do Para,0.0,-26.184254108778042,0,0
39,SMB Malapouya-Boké,0.0,5.552317689689104,0,0
40,Rundi,0.0,1.5840414233826294,0,0
41,Dabiss N,0.0,55.43156647542251,0,0
42,Metro BH1 Xinfa,0.0,0,0,14.17726347856065
43,Ashapura Guinea,0.0,-1.3755565566522918,0,0
44,SMB Kaboye,0.0,1.1035549045505206,0,0
45,SMB Dabiss S,0.0,0.03964520544005268,0,0
46,Weiqiao Self Supply,0.0,0.0,0,0
47,Mokanji,0.0,-5.41194469020531,0,0
48,Henan-Chine,0.0,0,9.8236212952228,0
49,SMB Malapouya-Boké,0.0,0,5.552317689689104,0
50,AMR,0.0,0,2.121543468710584,0
51,GDM,0.0,0,4.977491131715048,0
52,Ashapura Guinea,0.0,0,-1.3755565566522918,0
53,SMB Kaboye,0.0,0,1.1035549045505206,0
54,SMB Dabiss S,0.0,0,0.03964520544005268,0
