Rank,Name,tonnes,3rd Party Market,Integrated,Forward sold or HT 3rd Party Market
1,Gove,7.599999999999999,20.696729077110014,0,0
2,Weipa,17.200000000000006,23.41980543800381,0,0
3,Metro Blend,5.3999999999999915,26.493650744111,0,0
4,Vietnam,1.000000000000001,27.045795130584374,0,0
5,Amrun,10.879999999999995,29.625300550209857,0,0
6,Huntly,7.000000000000003,30.946300862570787,0,0
7,GAC,3.0,36.589102466186546,0,0
8,Chalco Boffa,34.8,0,37.07406403164435,0
9,Dian Dian,3.0000000000000027,38.108322137089424,0,0
10,Dynamic,9.000000000000009,38.44660527832273,0,0
11,CBG,10.499999999999996,39.059670485867734,0,0
12,Solomon Islands,1.5999999999999972,39.46086631671756,0,0
13,Alufer (Bel Air),9.269999999999996,39.952531686400214,0,0
14,Other,0.500000000000001,40.76066028575314,0,0
15,Henan-Chine,10.000000000000009,44.09951929846281,0,0
16,AGB2A,9.000000000000018,44.406110635399244,0,0
17,Juruti,1.8000000000000016,44.92953331478287,0,0
18,SMB Santou-Houda,1.2040864726907257,46.96888059941715,0,0
19,SMB Santou-Houda,34.552565541142684,0,46.96888059941715,0
20,GDM,2.0000000000000075,47.41481432330834,0,0
21,AMC,10.0,47.4330808889075,0,0
22,SPIC,7.500000000000003,0,49.72994714499487,0
23,Awaso,0.3000000000000066,0,57.06809842934686,0
24,AMR,0.0,49.17483155959108,0,0
25,Gujarat & Maharashtra,0.0,39.70362950506871,0,0
26,West Kalimantan,0.0,35.11914501096928,0,0
27,Kuantan & Johor,0.0,43.84817300383657,0,0
28,Aurum Xinfa-Fiji,0.0,0,34.469430270689784,0
29,Dom. Rep.,0.0,51.46246626038899,0,0
30,Discovery Bay,0.0,59.132252719110696,0,0
31,Metallica,0.0,33.065943918311724,0,0
32,Aurukun,0.0,32.02751126107105,0,0
33,Metro LT,0.0,26.493650744111,0,0
34,MRN,0.0,48.240355343904554,0,0
35,Mirai,0.0,68.40933317258313,0,0
36,Metro BH1,0.0,26.493650744111,0,0
37,Amrun,0.0,29.625300550209857,0,0
38,Rondon do Para,0.0,73.40483288709264,0,0
39,SMB Malapouya-Boké,0.0,45.74405733861255,0,0
40,Rundi,0.0,48.984870275221574,0,0
41,Dabiss N,0.0,0.0,0,0
42,Metro BH1 Xinfa,0.0,0,0,26.493650744111
43,Ashapura Guinea,0.0,53.73920930350975,0,0
44,SMB Kaboye,0.0,47.188948087932914,0,0
45,SMB Dabiss S,0.0,51.25672982286161,0,0
46,Weiqiao Self Supply,0.0,0.0,0,0
47,Mokanji,0.0,60.42235121040056,0,0
48,Henan-Chine,0.0,0,44.09951929846281,0
49,SMB Malapouya-Boké,0.0,0,45.74405733861255,0
50,AMR,0.0,0,49.17483155959108,0
51,GDM,0.0,0,47.41481432330834,0
52,Ashapura Guinea,0.0,0,53.73920930350975,0
53,SMB Kaboye,0.0,0,47.188948087932914,0
54,SMB Dabiss S,0.0,0,51.25672982286161,0
