One listing per Mine Only,Forecast Supply tonnes,Cash FOB,Sustaining Capital,Capital,Cash + Sustain Capital FOB,Full FOB,Freight,Cash Cost CFR,Cash + Sustaining Capital CFR,Full Cost CFR,ViU Cash Cost CFR,ViU Cash Cost + Sustaining Capital CFR,ViU Full Cost CFR,Cash Price,Full Price,Cash-Cash Margin,Full-Full Margin,Moisture,Full Supply Tonnes Mt
AGB2A,9.000000000000018,24.26128038192639,1.40625,2.4563326074883123,25.66753038192639,28.1238629894147,18.738580253472854,42.999860635399244,44.406110635399244,46.862443242887565,38.39984888175822,39.924698279348576,42.588191468191326,8.0,53.92963045751341,-34.999860635399244,7.0671872146258465,0.1,9.0
Alufer (Bel Air),9.269999999999996,20.962179827312525,0.3255,3.1809171792212005,21.287679827312527,24.46859700653373,18.664851859087687,39.627031686400215,39.952531686400214,43.133448865621425,36.60844790552405,36.97011457219071,40.5044669935476,8.0,51.90569443960432,-31.627031686400215,8.772245573982893,0.1,9.27
AMC,10.0,27.616107778291784,1.078392857142857,4.249175529577287,28.69450063543464,32.94367616501193,18.738580253472854,46.35468803176464,47.4330808889075,51.68225641848478,35.69393864630649,36.7534949469927,40.928449069939816,8.0,61.170955334522546,-38.35468803176464,9.488698916037762,0.1,10.0
AMR,0.0,29.030001306118212,1.40625,1.1313194113026692,30.436251306118212,31.567570717420878,18.738580253472854,47.76858155959108,49.17483155959108,50.306150970893746,45.074614431291636,46.637114431291636,47.89413599940573,8.0,52.42769443960433,-39.76858155959108,2.121543468710584,0.1,0.0
Amrun,10.879999999999995,18.393410478415973,1.441743106398394,8.375868988913012,19.835153584814368,28.21102257372738,9.790146965395492,28.183557443811463,29.625300550209857,38.00116953912287,36.884412717394476,38.290991357783156,46.4625708591617,8.0,41.88472609168228,-20.183557443811463,3.883556552559412,0.13,10.879999999999997
Ashapura Guinea,0.0,33.59437905003689,1.40625,1.5659777106559407,35.00062905003689,36.56660676069284,18.738580253472854,52.33295930350975,53.73920930350975,55.3051870141657,48.520076353203365,50.044925750793716,51.7429738707821,8.0,53.92963045751341,-44.33295930350975,-1.3755565566522918,0.1,5.0
Aurukun,0.0,20.29210895202911,1.7973214285714283,4.552788661925653,22.08943038060054,26.642219042526182,9.93808088047051,30.230189832499622,32.02751126107105,36.58029992299669,45.510178610877155,47.358852080264924,52.04172041824558,8.0,34.83971696655889,-22.230189832499622,-1.7405829564377981,0.13,8.0
Aurum Xinfa-Fiji,0.0,18.936888869770133,1.1982142857142857,2.7536504350054405,20.13510315548442,22.88875359048986,14.334327115205364,33.2712159849755,34.469430270689784,37.22308070569522,40.47625454116354,41.95350503040033,45.34841652561251,8.0,41.19995036796791,-25.2712159849755,3.9768696622726907,0.17,0.0
Awaso,0.3000000000000066,24.329022762475084,1.2833333333333337,2.291495901552434,25.61235609580842,27.90385199736085,31.455742333538453,55.78476509601353,57.06809842934686,59.3595943308993,42.20108515222012,43.367751818886774,45.45092991120718,8.0,64.64011860078621,-47.78476509601353,5.280524269886911,0.11,0.3
CBG,10.499999999999996,16.132924568580663,0.7233333333333334,6.435495136520588,16.856257901913995,23.291753038434585,22.20341258395373,38.3363371525344,39.059670485867734,45.49516562238833,32.18804467588951,32.93460430891704,39.57674378468371,8.0,55.83772773946175,-30.336337152534398,10.34256211707342,0.06,10.5
Chalco Boffa,34.8,18.646380044455267,1.3180357142857142,2.1546426673920616,19.96441575874098,22.119058426133048,17.109648272903367,35.756028317358634,37.07406403164435,39.22870669903641,32.45557186577249,33.968623068396376,36.44206490596381,8.0,51.25817761632248,-27.756028317358634,12.02947091728607,0.1,34.8
Dabiss N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.79879285633916,48.28776344457445,49.485631056541976,8.0,55.43156647542251,8.0,55.43156647542251,0.0,0.0
Dian Dian,3.0000000000000027,18.09408720840679,1.4378571428571427,3.6422309295405206,19.531944351263935,23.174175280804448,18.576377785825493,36.67046499423228,38.108322137089424,41.750553066629955,26.88485737212773,28.303795342052542,31.898102180414902,8.0,60.34856813094073,-28.670464994232283,18.598015064310772,0.1,3.0
Discovery Bay,0.0,22.457150982446066,0.3616666666666667,0.4582991803104868,22.818817649112734,23.277116829423218,36.31343506999797,58.77058605244403,59.132252719110696,59.590551899421186,47.26378450669746,47.60462220303252,48.03652718971257,8.0,61.94078496676672,-50.77058605244403,2.3502330673455347,0.17,2.5
Dom. Rep.,0.0,24.981140897124423,1.5000000000000002,3.051507051351538,26.481140897124423,29.53264794847596,24.981325363264574,49.96246626038899,51.46246626038899,54.51397331174054,55.47137067439638,57.07851353153925,60.347985372273044,8.0,45.09049971646795,-41.96246626038899,-9.42347359527259,0.16,2.0
Dynamic,9.000000000000009,18.6538583581832,1.0541666666666667,1.9870914724517619,19.708025024849867,21.69511649730163,18.738580253472854,37.39243861165606,38.44660527832273,40.433696750774494,35.34762467169797,36.595979934855855,38.94911457328557,8.0,49.97785439483156,-29.39243861165606,9.544157644057066,0.1,9.0
GAC,3.0,16.897394709014776,1.1754166666666666,6.062472328681334,18.072811375681443,24.135283704362774,18.516291090505106,35.41368579951988,36.589102466186546,42.65157479486789,30.195964353645216,31.49588448144073,38.20051104302001,8.0,53.54826228300703,-27.413685799519882,10.896687488139136,0.0891,3.0
GDM,2.0000000000000075,26.801234069835488,1.875,1.9485186042809373,28.676234069835488,30.624752674116426,18.738580253472854,45.53981432330834,47.41481432330834,49.36333292758928,40.73108348846884,42.75932868077653,44.86710120944581,8.0,54.34082405930433,-37.53981432330834,4.977491131715048,0.1,2.0
Gove,7.599999999999999,11.651079195247656,1.085,0.0,12.736079195247655,12.736079195247656,7.960649881862353,19.611729077110013,20.696729077110014,20.69672907711001,21.148688874807988,22.236105355877047,22.236105355877047,8.0,48.64977401661865,-11.611729077110013,27.95304493950864,0.095,7.6
Gujarat & Maharashtra,0.0,23.303376065710545,0.7500000000000001,0.1043985140437294,24.053376065710545,24.15777457975427,15.650253439358167,38.95362950506871,39.70362950506871,39.80802801911244,47.26633437071126,48.0996677040446,48.21566605298207,8.0,41.64019443960432,-30.95362950506871,1.8321664204918804,0.07,8.0
Henan-Chine,10.000000000000009,23.48593904498995,1.875,1.5084258817368923,25.36093904498995,26.869364926726853,18.738580253472854,42.22451929846281,44.09951929846281,45.60794518019971,36.26747421517912,38.25276833282618,39.849925148782894,8.0,55.43156647542251,-34.22451929846281,9.8236212952228,0.1,10.0
Huntly,7.000000000000003,14.331719729934434,1.085,1.1192256606796307,15.416719729934435,16.535945390614067,15.529581132636347,29.861300862570786,30.946300862570787,32.065526523250405,33.68885182558353,35.168397280128985,36.694614090146665,8.0,42.007174305286064,-21.861300862570786,9.941647782035659,0.08,7.0
Juruti,1.8000000000000016,13.873595596252358,0.9041666666666668,0.9929950579508624,14.777762262919024,15.770757320869887,30.151771051863843,44.025366648116204,44.92953331478287,45.92252837273373,38.57046765159881,39.427046598967216,40.36777875913121,8.0,56.35524656496802,-36.025366648116204,10.43271819223429,0.13,1.8
Kuantan & Johor,0.0,32.09,0.0,0.0,32.09,32.09,11.758173003836582,43.84817300383657,43.84817300383657,43.84817300383657,50.849593137733905,50.849593137733905,50.849593137733905,8.0,43.332403209158834,-35.84817300383657,-0.5157697946777375,0.17,0.0
Metallica,0.0,22.33829695291623,0.9375,2.7550210002352022,23.27579695291623,26.030817953151434,9.790146965395492,32.128443918311724,33.065943918311724,35.82096491854693,52.24600671893111,53.32773748816189,56.50660787304866,8.0,30.399790412740646,-24.128443918311724,-5.421174505806281,0.13,1.5
Metro BH1,0.0,18.4939,0.3225,1.0501996190115732,18.8164,19.86659961901157,7.677250744111003,26.171150744111,26.493650744111,27.54385036312257,32.989429183183546,33.347435672089965,34.51325979070453,8.0,41.72111384168322,-18.171150744111,14.17726347856065,0.1,0.0
Metro BH1 Xinfa,0.0,18.4939,0.3225,1.0501996190115732,18.8164,19.86659961901157,7.677250744111003,26.171150744111,26.493650744111,27.54385036312257,32.989429183183546,33.347435672089965,34.51325979070453,8.0,41.72111384168322,-18.171150744111,14.17726347856065,0.1,0.0
Metro Blend,5.3999999999999915,18.4939,0.3225,1.0501996190115732,18.8164,19.86659961901157,7.677250744111003,26.171150744111,26.493650744111,27.54385036312257,38.93755565518636,39.303897919545996,40.496866931819866,8.0,36.131008666437566,-18.171150744111,8.587158303314997,0.1,5.4
Metro LT,0.0,18.4939,0.3225,1.0501996190115732,18.8164,19.86659961901157,7.677250744111003,26.171150744111,26.493650744111,27.54385036312257,32.16944828721401,32.52578882808156,33.68618789864737,8.0,42.53592225155518,-18.171150744111,14.992071888432609,0.1,0.0
Mirai,0.0,33.42482372122173,1.1,0.3035192441283768,34.52482372122173,34.8283429653501,33.88450945136141,67.30933317258314,68.40933317258313,68.71285241671151,65.78352142645744,66.93468421715511,67.252320635429,8.0,52.467534484377076,-59.30933317258314,-16.245317932334437,0.13,2.0
Mokanji,0.0,33.41139101185085,1.2833333333333337,0.0,34.694724345184184,34.694724345184184,25.72762686521638,59.139017877067225,60.42235121040056,60.422351210400564,54.380017877067225,55.66335121040056,55.66335121040056,8.0,55.010406520195254,-51.139017877067225,-5.41194469020531,0.11,1.0
