Mine,Energy Price,Caustic Price,Lime Price,Mud Disposal Cost
SMB Generic,4.336719454715978,373.35945853917883,35.84250801976117,4.480313502470146
West Kalimantan Generic,4.336719454715978,373.35945853917883,35.84250801976117,4.480313502470146
Weipa/Amrun Generic,4.336719454715978,373.35945853917883,35.84250801976117,4.480313502470146
Gove,4.14602176370831,240.24872809496893,33.91746749576032,4.23968343697004
Alufer Bel Air,4.14602176370831,240.24872809496893,33.91746749576032,4.23968343697004
Central Kalimantan Generic,4.14602176370831,240.24872809496893,33.91746749576032,4.23968343697004
CBG LT,4.14602176370831,240.24872809496893,33.91746749576032,4.23968343697004
Huntly,4.14602176370831,240.24872809496893,33.91746749576032,4.23968343697004
Turkey,4.14602176370831,240.24872809496893,33.91746749576032,4.23968343697004
Bauxite Hills,4.14602176370831,240.24872809496893,33.91746749576032,4.23968343697004
Chalco Boffa,4.14602176370831,240.24872809496893,33.91746749576032,4.23968343697004
Rennell Island,4.14602176370831,240.24872809496893,33.91746749576032,4.23968343697004
Discovery Bay,4.14602176370831,240.24872809496893,33.91746749576032,4.23968343697004
MRN,4.14602176370831,240.24872809496893,33.91746749576032,4.23968343697004
