a,b
Awaso,Ghana
Bauxite Hills,AUS HT
Bel Air,Alufer
Bintan,Indonesia
Cam Pha,Vietnam Sea
CBG,CBG
Discovery Bay,Jamaica
Elmin,Greece
Gove,AUS LT
Gujarat,India
Johor,Johor
Juruti,Brazil
Kuantan,Kuantan
Kwinana,WA
Lang Son,Vietnam Land
MRN,Brazil
Niksic,Montenegro
Rennell,Solomon Is
Rennell Island,Solomon Is
Sierra Leone,Sierra Leone
SMB,SMB
Turkey,Turkey
W-Kalimantan,Indonesia
Weipa,AUS HT
Weipa-LMB,AUS LT
Weipa-LMB1,AUS HT
C-Kalimantan,Indonesia
Chalco Boffa,Chalco Boffa
Riau Islands,Indonesia
Huntly,WA
Kamsar,CBG
GAC,GAC
Weipa-LMB-1,WeipaLMB
