a,b
AUS HT,AUS HT
AUS LT,AUS LT
SMB,SMB
Brazil,Brazil
Indonesia,Indonesia
Alufer,-
CBG,-
Ghana,-
Greece,-
India,-
Jamaica,-
Johor,-
Kuantan,-
Montenegro,-
Sierra Leone,-
Solomon Is,-
Turkey,-
Vietnam Land,-
Vietnam Sea,-
WA,-
GAC,-
WeipaLMB,-
