as,shanxi1,shanxi2,henan1,henan2,guizhou1,guizhou2,guangxi1,guangxi2,shandog l1,shandog l2,shanxi l1,shanxi l2,shanxi s1,shanxi s2,henan l1,henan l2,henan s1,henan s2,guangxi l1,guangxi l2,guangxi s1,guangxi s2,guizhou s1,guizhou s2
43406,480,625,450,630,310,360,330,330,2600,2800,3100,3350,3800,4000,3150,3250,3850,4050,3300,3400,3900,4100,3850,4100
43413,480,625,450,630,310,360,330,330,2600,2800,3100,3350,3800,4000,3150,3250,3850,4050,3300,3400,3900,4100,3850,4100
43420,480,625,450,630,310,360,330,330,2600,2800,3100,3350,3800,4000,3150,3250,3850,4050,3300,3400,3900,4100,3850,4100
43427,480,625,450,630,310,360,330,330,2600,2800,3100,3350,3800,4000,3150,3250,3850,4050,3300,3400,3900,4100,3850,4100
43434,500,650,450,630,340,390,330,330,2600,2800,2900,3150,3700,3900,2950,3050,3750,3950,3100,3300,3800,4000,3750,4000
43441,500,650,470,650,340,390,330,330,2600,2800,2900,3150,3500,3700,2950,3050,3550,3750,3100,3300,3600,3800,3650,3900
43448,500,650,470,650,340,390,330,330,2600,2800,2900,3150,3500,3700,2950,3050,3550,3750,3100,3300,3600,3800,3650,3900
43455,500,650,470,650,340,390,330,330,2600,2800,2900,3150,3500,3700,2950,3050,3550,3750,3100,3300,3600,3800,3650,3900
43462,480,630,450,630,320,370,330,330,2600,2800,2900,3150,3500,3700,2950,3050,3550,3750,3100,3300,3600,3800,3650,3900
43469,450,600,430,610,320,370,330,330,2550,2750,2800,3050,3500,3700,2850,2950,3550,3750,3000,3200,3600,3800,3650,3900
43476,450,600,430,610,320,370,330,330,2500,2700,2800,3050,3500,3700,2850,2950,3550,3750,3000,3200,3600,3800,3650,3900
43483,450,600,430,610,320,370,330,330,2500,2700,2800,3050,3500,3700,2850,2950,3550,3750,3000,3200,3600,3800,3650,3900
43490,450,600,430,610,320,370,330,330,2400,2600,2800,3050,3500,3700,2850,2950,3550,3750,3000,3200,3600,3800,3650,3900
43497,450,600,430,610,320,370,330,330,2400,2600,2800,3050,3500,3700,2850,2950,3550,3750,3000,3200,3600,3800,3650,3900
43504,450,600,430,610,320,370,330,330,2400,2600,2800,3050,3500,3700,2850,2950,3550,3750,3000,3200,3600,3800,3650,3900
43511,450,580,400,580,320,370,330,330,2400,2600,2800,3050,3500,3700,2850,2950,3550,3750,3000,3200,3600,3800,3650,3900
43518,450,580,400,580,320,370,330,330,2400,2600,2800,3050,3500,3700,2850,2950,3550,3750,3000,3200,3600,3800,3650,3900
43525,450,580,400,580,320,370,330,330,2400,2600,2800,3000,3200,3500,2750,2850,3250,3450,2900,3100,3300,3500,3350,3600
43532,450,580,400,580,320,370,330,330,2400,2600,2800,3000,3200,3500,2750,2850,3250,3450,2900,3100,3300,3500,3350,3600
43539,450,580,400,580,320,370,330,330,2400,2600,2800,3000,3200,3500,2750,2850,3250,3450,2900,3100,3300,3500,3350,3600
43546,450,580,400,580,320,370,330,330,2400,2600,2800,3000,3200,3500,2750,2850,3250,3450,2900,3100,3300,3500,3350,3600
