Mine,Price,Total Alumina,LT Avail. Alumina,Total Silica,LT R.Silica,Quartz / HT Silica,Mono-hydrate / HT Alumina,Moisture,Processing,Processing Penalties
West Kalimantan Generic,45.0,0.48,0.44,0.08,0.035,0.045,0.005,0.15,LT,0.33
West Kalimantan Generic,45.0,0.48,0.44,0.08,0.035,0.045,0.005,0.15,LT,0.33
Weipa/Amrun Generic,45.135,0.53,0.3625,0.08999999999999998,0.0675,0.0225,0.1,0.13,HT-D,0.67
Malaysia Kuantan washed,,,,,,,,,,
Malaysia Kuantan washed,,,,,,,,,,
India Gujarat,,,,,,,,,,
India Gujarat,,,,,,,,,,
India Gujarat,,,,,,,,,,
SMB Generic,45.135,0.448,0.4,0.023,0.013,0.01,0.035,0.1,LT,0.33
