province_id,county_id,Mine_id,Status_id,TonnesProduced,GradeAl2O3,AS,MiningScale,Mineautolevel,MineTypeOpenPit,MineTypeUnderground,DepthOpenPit,DepthUnderground,StrippingRatioOpenPit,StrippingRatioUnderground,Dressingautolevel,DistanceOpenPit,DistanceUnderground,LocalTaxandfees,Distance,DressingRatio,empty
province_7,county_12,Mine_18,status_1,480.8144562,0.6,4.8,2,3,1,0,105.0917884,0,9.195531487,0,3,20,0,21,20,0,0
province_7,county_13,Mine_19,status_1,0,0.591,3.58,2,2,1,0,80.09178842,0,26.69726281,0,2,15,0,21,20,0,0
province_7,county_14,Mine_20,status_1,1322.239755,0.5853,5.24,3,3,1,0,80.09178842,0,26.69726281,0,3,20,0,21,70,0,0
province_7,county_15,Mine_21,status_1,0,0.648,5.8,3,3,1,0,77.09178842,0,32.12157851,0,3,20,0,21,50,0,0
province_1,county_16,Mine_22,status_1,986.3351217,0.5033,8.85,3,3,1,0,45.6753034,0,0,0,3,15,0,25,40,2,0
province_1,county_17,Mine_23,status_1,3205.589145,0.5701,9.61,3,3,1,0,20.1753034,0,0,0,3,15,0,25,60,2,0
province_1,county_18,Mine_24,status_1,493.1675608,0.5227,13.76,2,3,1,0,20.6753034,0,0,0,3,20,0,25,20,2,0
province_1,county_18,Mine_25,status_1,1335.251171,0.5962,9.93,3,3,1,0,16.2353034,0,0,0,3,20,0,25,20,2,0
province_8,county_20,Mine_26,status_1,706.5107665,0.519,6.55,3,2,1,0,37.21640946,0,37.21640946,0,2,15,0,28,130,0,0
province_8,county_20,Mine_27,status_1,321.1412575,0.523,6.8,3,2,1,0,37.21640946,0,59.54625513,0,2,15,0,28,75,0,0
province_8,county_20,Mine_28,status_1,695.8060579,0.5268,8.26,3,2,1,0,38.21640946,0,25.47760631,0,2,15,0,28,160,0,0
province_13,county_21,Mine_29,status_1,494.2555128,0.662,6.12,3,3,0,1,0,143.657875,0,2.3,2,20,20,30,32,0,0
province_13,county_21,Mine_30,status_1,1186.213231,0.68,9.47,3,3,0,1,0,131.657875,0,2.1,3,8,8,30,50,0,0
province_13,county_22,Mine_31,status_2,0,0.6,6,1,2,0,1,0,123.657875,0,2.8,2,0,0,30,0,0,0
province_13,county_22,Mine_32,status_2,0,0.664,6.51,3,3,0,1,0,133.657875,0,3,3,20,20,30,45,0,0
province_13,county_23,Mine_33,status_2,197.7022051,0.67,6.53,1,3,0,1,0,73.65787504,0,1.2,2,20,20,30,30,0,0
province_13,county_23,Mine_34,status_1,494.2555128,0.686,6,3,3,0.5,0.5,43.65787504,73.65787504,6.548681256,3.2,2,20,20,30,35,0,0
province_13,county_23,Mine_35,status_1,296.5533077,0.575,6.95,2,2,1,0,43.65787504,0,6.985260007,0,2,20,0,30,26,0,0
province_9,county_24,Mine_36,status_1,347.9696257,0.616214108,6.448240886,3,2,0,1,0,110.6712755,0,0.5,2,0,20,30,0,0,0
province_9,county_25,Mine_36,status_1,218.0360176,0.563709812,5.228765189,1,2,0,1,0,110.6712755,0,0.5,2,0,20,30,0,0,0
province_1,county_26,Mine_36,status_2,76.03659338,0.477,4,1,2,1,0,0,0,0,0,2,18,0,25,0,2,0
province_1,county_27,Mine_37,status_1,860.9077054,0.513519647,7.242822811,3,2,1,0,22.6753034,0,0,0,2,15,0,25,0,2,0
province_1,county_28,Mine_38,status_2,0,0.4771,3.8,1,2,1,0,0,0,0,0,2,0,0,0,0,2,0
province_1,county_29,Mine_37,status_1,5176.327206,0.523968842,6.144343856,1,2,1,0,23.6753034,0,0,0,2,18,0,25,0,2,0
province_1,county_30,Mine_36,status_2,159.350975,0.468,2.97,1,2,1,0,0,0,0,0,2,18,0,25,0,2,0
province_13,county_31,Mine_36,status_1,242.3846949,0.664,6.9,1,1,1,0,43.65787504,0,0,0,1,5,0,30,0,0,0
province_1,county_32,Mine_36,status_1,886.7134065,0.5,5,3,2,1,0,22.6753034,0,0,0,2,26,0,25,0,2,0
province_1,county_18,Mine_37,status_1,4153.759619,0.598735977,8.319559568,1,2,1,0,19.6753034,0,0,0,2,20,0,25,0,2,0
province_1,county_19,Mine_36,status_1,885.7161183,0.503952124,5.312981628,1,2,1,0,22.6753034,0,0,0,2,18,0,25,0,2,0
province_1,county_19,Mine_36,status_1,979.2197602,0.520067144,8.0490789,1,2,1,0,20.6753034,0,0,0,2,10,0,25,0,2,0
province_13,county_33,Mine_36,status_1,201.6440541,0.65,6.7,1,1,1,0,53.65787504,0,7.154383339,0,1,5,0,30,0,0,0
province_13,county_34,Mine_36,status_1,617.882999,0.663537512,6.742442304,1,1,0,1,0,133.657875,0,2.6,1,15,15,30,0,0,0
province_13,county_35,Mine_36,status_1,493.2649734,0.6811,6.8,1,1,1,0,53.65787504,0,7.154383339,0,1,5,0,30,0,0,0
province_13,county_36,Mine_36,status_1,799.7092209,0.633358857,6.649060347,1,1,1,0,53.65787504,0,8.942979174,0,1,5,0,30,0,0,0
province_13,county_37,Mine_36,status_1,396.3401987,0.691590604,7.67667196,1,1,0.5,0.5,53.65787504,133.657875,5.365787504,2.1,1,5,5,30,0,0,0
province_13,county_21,Mine_37,status_1,3722.479517,0.674634802,8.124162278,1,1,0.5,0.5,53.65787504,133.657875,5.365787504,2,1,5,5,30,0,0,0
province_13,county_38,Mine_36,status_1,165.901262,0.6041,7,1,1,1,0,53.65787504,0,7.154383339,0,1,0,0,30,0,0,0
province_13,county_39,Mine_37,status_2,0,0.6797,8.92,1,1,0,1,0,0,0,0,1,0,0,30,0,0,0
province_13,county_40,Mine_36,status_1,63.43211347,0.6241,4.4,1,1,0.5,0.5,33.65787504,133.657875,6.731575008,2.4,1,0,0,30,0,0,0
province_13,county_41,Mine_36,status_1,1724.504934,0.645132763,5.66291595,1,1,1,0,33.65787504,0,16.82893752,0,1,5,0,30,8,0,0
province_13,county_42,Mine_36,status_1,5.640642908,0.591172029,5.984797468,1,1,1,0,38.65787504,0,11.59736251,0,1,5,0,30,0,0,0
province_13,county_43,Mine_36,status_1,153.9304012,0.6578,8.06,1,1,0,1,0,0,0,0,1,0,0,30,0,0,0
province_13,county_44,Mine_37,status_1,892.6061026,0.634403106,6.995697144,1,1,1,0,43.65787504,0,7.640128132,0,1,5,0,30,0,0,0
province_6,county_45,Mine_36,status_1,727.0377984,0.613675413,4.783374175,1,2,1,0,87.66867585,0,11.68915678,0,2,12,0,27.25,0,0,0
province_6,county_46,Mine_37,status_1,1519.362943,0.656,6.1,1,2,1,0,77.66867585,0,9.708584481,0,2,12,0,27.25,0,0,0
province_6,county_47,Mine_37,status_1,3812.592238,0.648399783,4.750568373,1,2,1,0,97.66867585,0,9.766867585,0,2,12,0,27.25,0,0,0
province_6,county_48,Mine_36,status_1,145.6149543,0.6,4,1,2,1,0,77.66867585,0,23.30060275,0,2,0,0,27.25,0,0,0
province_6,county_49,Mine_36,status_1,1067.012209,0.6,4,1,2,1,0,77.66867585,0,23.30060275,0,2,0,0,27.25,0,0,0
province_6,county_50,Mine_36,status_1,163.2607866,0.6,4,1,2,1,0,77.66867585,0,23.30060275,0,2,0,0,27.25,0,0,0
province_6,county_51,Mine_36,status_1,299.5121989,0.670087176,5.86587991,1,2,1,0,77.66867585,0,11.65030138,0,2,12,0,27.25,0,0,0
province_6,county_6,Mine_37,status_1,6184.73251,0.671974704,7.11442601,1,2,1,0,77.66867585,0,15.53373517,0,2,15,0,27.25,0,0,0
province_6,county_53,Mine_36,status_1,302.1211943,0.6,4,1,2,1,0,77.66867585,0,15.53373517,0,2,0,0,27.25,0,0,0
province_6,county_54,Mine_36,status_1,469.7705793,0.6,4,1,2,1,0,77.66867585,0,15.53373517,0,2,0,0,27.25,0,0,0
province_6,county_55,Mine_36,status_1,268.6256117,0.635274425,6.128702067,1,2,1,0,77.66867585,0,15.53373517,0,2,0,0,27.25,0,0,0
province_6,county_56,Mine_36,status_1,280.1305905,0.6468,5.7,1,2,1,0,77.66867585,0,15.53373517,0,2,15,0,27.25,0,0,0
province_6,county_57,Mine_37,status_1,2790.953152,0.658606027,7.310645463,1,2,1,0,77.66867585,0,15.53373517,0,2,15,0,27.25,0,0,0
province_6,county_58,Mine_37,status_1,2948.187549,0.63724778,5.080999353,1,2,1,0,77.66867585,0,17.47545207,0,2,15,0,27.25,0,0,0
province_6,county_59,Mine_36,status_1,833.593523,0.6672,4,1,2,1,0,77.66867585,0,15.74568894,0,2,10,0,27.25,0,0,0
province_6,county_3,Mine_37,status_1,1587.621865,0.675543519,6.796335196,1,2,1,0,77.66867585,0,15.53373517,0,2,15,0,27.25,0,0,0
province_6,county_4,Mine_37,status_1,525.0270559,0.664825503,5.874020922,1,2,0.5,0.5,87.66867585,147.6686758,8.766867585,0.6,2,10,10,27.25,0,0,0
province_6,county_60,Mine_36,status_2,20.12630412,0.6,4,1,2,1,0,80.67346586,0,15.12627485,0,2,10,0,27.25,0,0,0
province_6,county_61,Mine_36,status_1,908.288303,0.64,5,1,2,1,0,90.67346586,0,9.067346586,0,2,10,0,27.25,0,0,0
province_14,county_62,Mine_36,status_1,421.0738222,0.643608944,5.25,1,1,0,1,0,156.0856057,0,1,1,0,20,30,0,0,0
province_6,county_63,Mine_36,status_1,193.411105,0.6219,5,1,1,0,1,0,176.3664199,0,1,1,0,20,30,0,0,0
province_7,county_64,Mine_36,status_1,2939.539812,0.592433648,8.633615685,1,2,1,0,95.09178842,0,12.67890512,0,2,10,0,21,0,0,0
province_7,county_65,Mine_36,status_2,719.4462019,0.6803,8.72,1,2,1,0,95.09178842,0,18.38441243,0,2,10,0,0,0,0,0
province_7,county_66,Mine_38,status_2,0,0.629698791,4.297074112,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0
province_7,county_67,Mine_36,status_1,542.9092518,0.6458,6.132953466,1,2,1,0,95.09178842,0,12.67890512,0,2,0,0,21,0,0,0
province_7,county_68,Mine_37,status_1,451.2612295,0.6,4.8,1,2,1,0,105.0917884,0,12.34828514,0,2,5,0,21,0,0,0
province_7,county_69,Mine_41,status_2,0,0.000001,0.0001,1,2,0.5,0.5,0,0,0,0,2,0,0,0,0,0,0
province_7,county_70,Mine_36,status_1,197.1894378,0.6,4.8,1,2,1,0,80.09178842,0,21.35781024,0,2,0,0,21,0,0,0
province_7,county_71,Mine_36,status_1,228.9082292,0.5595,3.78,1,2,1,0,80.09178842,0,21.35781024,0,2,0,0,21,0,0,0
province_7,county_11,Mine_37,status_1,3955.946384,0.646437306,5.546165406,1,2,1,0,85.09178842,0,19.99657028,0,2,10,0,21,0,0,0
